057	0
021	1
031	2
013	3
1431	4
061	5
1011	6
022	7
111	8
011	9
030	10
016	11
093	12
202	13
193	14
100	15
010	16
072	17
040	18
074	19
050	20
101	21
160	22
140	23
0312	24
1222	25
071	26
0212	27
180	28
183	29
062	30
073	31
170	32
190	33
200	34
194	35
060	36
1384	37
201	38
032	39
090	40
112	41
0831	42
0311	43
054	44
0811	45
012	46
046	47
0313	48
1224	49
082	50
020	51
034	52
070	53
051	54
1831	55
195	56
041	57
0332	58
044	59
154	60
0314	61
122	62
110	63
063	64
014	65
1223	66
092	67
1383	68
1412	69
1052	70
019	71
1421	72
052	73
080	74
091	75
191	76
1711	77
0331	78
042	79
134	80
1321	81
132	82
1221	83
175	84
1012	85
0213	86
0211	87
081	88
1834	89
017	90
039	91
182	92
121	93
1411	94
033	95
1123	96
102	97
1832	98
1211	99
0241	100
1432	101
2041	102
1622	103
0231	104
015	105
1051	106
018	107
0832	108
0242	109
0841	110
164	111
0333	112
130	113
1422	114
1234	115
162	116
171	117
104	118
1233	119
123	120
0351	121
1414	122
142	123
1621	124
053	125
0334	126
085	127
1313	128
120	129
1311	130
1013	131
0234	132
203	133
1423	134
038	135
150	136
1122	137
1041	138
1053	139
204	140
1434	141
1623	142
138	143
141	144
1125	145
105	146
1951	147
172	148
0233	149
1054	150
1124	151
155	152
0344	153
1424	154
133	155
045	156
1245	157
2042	158
1044	159
1382	160
163	161
184	162
1712	163
083	164
1212	165
153	166
024	167
035	168
055	169
094	170
114	171
036	172
1231	173
1441	174
0863	175
1244	176
1042	177
192	178
037	179
176	180
1121	181
028	182
1453	183
131	184
1433	185
0341	186
113	187
152	188
161	189
1323	190
0353	191
186	192
174	193
023	194
143	195
196	196
0232	197
1721	198
056	199
0343	200
1822	201
1413	202
086	203
1033	204
0862	205
0244	206
1821	207
1381	208
151	209
144	210
173	211
1241	212
1232	213
084	214
1833	215
0354	216
136	217
185	218
1385	219
075	220
106	221
1952	222
127	223
087	224
115	225
0342	226
166	227
181	228
1055	229
0871	230
116	231
108	232
0356	233
