1	56	23	1494	1494
1	40	23	1723	1723
12	99	0	1583	1583
16	2	0	1599	1599
54	15	21	1503	1503
16	0	23	1140	1140
1	41	6	1656	1656
1	28	136	1433	1433
250	8	0	1480	1480
13	56	9	454	454
93	2	0	1286	1286
23	26	1	1297	1297
57	23	96	1229	1229
747	69	12	1695	1695
0	2	307	931	931
0	18	9	1280	1280
16	2	80	707	707
725	20	48	393	393
771	37	7	294	294
13	28	7	1196	1196
43	29	1	525	525
83	3	0	1690	1690
0	8	88	1450	1450
7	27	131	579	579
9	8	26	1514	1514
155	20	0	186	186
16	41	1021	810	810
26	13	45	1187	1187
57	20	0	1286	1286
1	36	150	27	27
56	0	20	1266	1266
467	8	0	467	467
3	29	13	582	582
52	20	99	1098	1098
361	8	0	1110	1110
126	37	280	907	907
1	2	579	1501	1501
56	37	87	452	452
170	15	0	1357	1357
0	26	99	550	550
1	23	21	1093	1093
13	1	771	816	816
0	2	319	37	37
253	16	0	845	845
9	56	9	1378	1378
104	4	57	1788	1788
23	20	97	229	229
1	41	225	1153	1153
1	63	11	1315	1315
259	15	1	269	269
96	56	0	25	25
23	66	32	788	788
23	2	1	1492	1492
345	37	109	851	851
7	12	347	1525	1525
278	37	227	106	106
76	2	24	147	147
60	2	1153	595	595
16	41	19	1786	1786
1263	8	1	646	646
307	36	0	949	949
6	2	26	1487	1487
45	2	1	385	385
12	21	260	1532	1532
1533	23	33	1370	1370
43	37	31	1520	1520
91	2	1337	852	852
12	31	0	685	685
416	80	1223	1446	1446
307	78	1	548	548
3	12	697	1073	1073
47	73	16	1733	1733
227	2	1	1130	1130
1	29	23	368	368
212	80	7	53	53
121	2	95	816	816
7	8	12	806	806
19	22	1	416	416
19	26	0	48	48
7	19	13	124	124
21	25	0	1783	1783
669	3	22	1448	1448
88	0	96	1621	1621
305	41	14	857	857
95	13	33	422	422
1	72	24	1007	1007
51	15	189	1191	1191
1	0	174	943	943
187	42	0	1814	1814
1119	28	1	921	921
3	154	1	577	577
170	71	1	692	692
34	42	99	1787	1787
23	77	21	1422	1422
45	0	7	1423	1423
72	0	439	1725	1725
121	2	1	1708	1708
0	2	311	1574	1574
906	60	692	983	983
253	37	360	318	318
7	2	115	978	978
22	37	0	1111	1111
1	9	49	978	978
87	28	121	840	840
421	8	7	1849	1849
12	23	1329	1124	1124
19	3	65	331	331
0	37	495	1032	1032
845	17	31	1613	1613
28	28	12	370	370
278	15	7	1783	1783
12	0	16	930	930
171	112	7	1348	1348
34	75	23	1458	1458
20	0	63	259	259
14	41	21	1446	1446
776	28	16	1256	1256
1	35	9	898	898
88	4	0	1824	1824
292	62	292	1439	1439
394	20	574	1225	1225
96	40	0	1067	1067
15	41	7	887	887
837	3	0	1034	1034
72	24	1	294	294
452	22	0	1191	1191
0	23	0	1694	1694
7	29	81	1669	1669
6	52	1	1651	1651
87	8	1	1182	1182
1	95	11	213	213
13	23	26	854	854
1	42	1	554	554
80	15	21	1524	1524
16	2	405	361	361
430	28	0	1580	1580
1	2	51	358	358
15	28	0	505	505
871	100	795	1610	1610
56	23	8	1379	1379
150	129	577	665	665
0	3	497	1316	1316
261	29	483	660	660
21	13	82	1837	1837
45	20	9	1730	1730
1	54	80	1656	1656
0	23	1054	787	787
1	117	264	1594	1594
7	18	1	853	853
691	0	369	963	963
713	0	73	1161	1161
1	28	16	827	827
1	20	0	1324	1324
21	3	52	1780	1780
0	49	1	1173	1173
1	40	0	1180	1180
241	104	65	1751	1751
52	120	13	1716	1716
303	16	1047	940	940
23	0	1121	1037	1037
0	3	6	388	388
758	28	13	1564	1564
0	3	88	1784	1784
1	28	21	1511	1511
121	41	1	238	238
314	80	20	636	636
52	63	3	1666	1666
1	3	237	1552	1552
7	23	1	283	283
152	40	16	1205	1205
95	4	16	796	796
153	81	771	335	335
845	68	186	1250	1250
1	28	13	476	476
16	8	170	754	754
131	22	1	1339	1339
