113	20	246	1208
1	1	50	1859
33	1	351	2128
44	2	1	914
0	5	4	1864
6	111	5	747
87	0	51	3073
7120	0	41	768
105	4	125	1200
1505	4	0	380
4	10	22	1266
55	5	35	755
0	5	70	693
71	5	18	1808
65	0	405	1563
157	11	62	2614
14	123	7	2238
3	12	2	501
65	1	25	2416
2	1	0	338
1324	1	1148	3218
306	12	397	380
26	5	0	1271
18	2	10	689
1312	9	332	502
91	16	298	2934
234	22	310	1286
447	12	761	650
47	10	2	237
355	93	4592	320
1	13	108	3160
35	10	128	1138
14	2	55	2736
86	2	167	1194
66	1	247	3173
38	31	5	2075
2342	52	871	2107
119	73	0	464
21	2	4	1643
19	48	4	1693
1652	0	0	2662
155	0	20	1385
339	0	31	2871
905	1	222	2790
17	2	14	676
3	1	0	75
1005	0	6	2763
441	11	11	3063
135	0	38	1695
92	0	634	769
0	0	2	795
1300	1	25	293
55	5	4	1620
74	0	1915	3109
2682	5	1447	1020
26	13	11	1699
49	17	1559	440
16	1	1496	3019
11	5	37	2130
6	29	5	1355
585	7	15	1157
9	1	0	2091
9	3	562	421
65	4	9	1507
965	0	311	2125
1	0	18	2957
33	3	874	2194
117	10	717	720
959	7	238	2551
150	2	788	741
1563	10	169	257
433	77	124	599
89	6	8	89
0	5	105	1004
117	2	57	2876
173	10	101	1779
3	11	11	2001
18	3	82	2457
372	6	57	3041
321	0	6047	1027
51	15	199	3002
70	2	53	1150
115	59	22	2069
38	0	483	1585
1694	4	9	57
14	0	1	537
401	6	8	2645
130	3	2	3185
31	5	27	3204
32	2	22	2601
4	24	1	2588
1	13	601	2247
65	94	71	727
6	9	5	1371
175	3	1080	654
53	2	42	531
7	11	26	315
76	29	8	2076
11	11	50	1265
13	7	0	979
589	4	55	797
1973	0	1227	2004
12	5	17	452
700	1	601	2103
1294	22	124	3212
1745	4	0	1318
4	3	19	1599
11	13	26	265
446	1	137	1370
12	14	0	2872
480	30	10200	303
3	8	2	818
49	8	213	1028
3	14	2	624
53	53	92	2088
276	8	676	178
43	9	5	781
159	11	23	1248
18	0	1	532
321	0	151	584
523	4	16	2170
527	0	2522	2233
1194	0	252	897
216	2	1	2426
69	2	4	2695
44	2	2	825
534	16	49	72
12	68	14	761
59	1	764	1284
339	4	12	2920
305	16	30	2876
101	21	8	1034
155	1	20	1555
4	2	47	2869
12	14	41	2825
940	4	0	1333
101	3	8	1486
10	3	1	320
222	4	50	2760
3	13	2	2201
510	22	38	1472
63	6	49	416
454	17	35	656
6	9	68	2118
44	4	1	1465
7	12	20	2651
442	1	140	2418
4	3	154	2629
480	16	884	1006
0	2	42	606
127	0	3	1364
20	18	50	1464
832	0	492	489
10	5	222	3067
827	1	1224	1729
73	6	2398	669
169	11	58	1917
237	47	7	1089
6	29	5	812
25	228	47	668
29	5	28	1272
169	13	437	2434
3629	33	55	2382
333	18	2004	1746
262	17	655	2435
3	13	0	1975
2	70	20	2748
0	5	1835	447
9	5	309	1978
1659	12	142	2999
23	13	7	1647
4269	3	1246	1057
7	9	15	1523
27	4	31	2274
675	11	58	2636
8	3	13	1347
302	25	53	1607
45	174	191	942
0	4	11	755
247	10	40	3070
309	0	185	2628
95	1	29	69
805	15	51	850
9	2	0	654
265	0	0	2869
42	6	302	1661
114	9	2199	2593
1125	0	43	2853
8	16	76	2847
0	8	1	2658
2386	16	3726	3082
50	11	56	87
85	0	13	1945
20	5	11	978
3014	1	1713	1214
4868	65	30	247
40	11	9	1850
17	1	4	3005
964	0	26	163
85	0	13	3163
97	8	48	2045
135	47	4349	1195
3	10	2	1500
38	6	148	1339
0	2	3	2972
7	1	56	2846
63	6	49	2019
7	5	641	1810
1611	0	516	1568
0	1	540	647
506	19	5	2505
9	51	1	903
1933	15	1603	2389
40	5	306	1093
914	1	668	1568
15	138	7	2053
643	4	29	2732
2424	38	2158	2160
9	6	489	82
4	1	19	2454
37	0	7	1558
0	14	3	2760
20	1	26	1315
5926	11	86	2895
39	17	0	247
197	6	217	766
9	5	1608	2636
6	3	5	1543
2	51	4	1613
226	4	191	3177
1083	3	302	1147
282	1	216	2289
0	5	25	886
7	0	598	1924
55	5	1455	2845
11	13	26	1178
1093	1	4	1553
51	0	87	3020
988	2	12	1712
27	13	62	842
622	52	1001	2280
0	14	2	633
33	4	3	1899
7	11	26	193
9	10	3	404
6	18	5	1097
88	6	171	2607
17	0	1	2802
609	0	1	2934
108	14	1	2990
142	17	77	439
3	1	2	3028
1	8	498	2896
1030	2	9	3180
39	0	3426	1558
15	17	7	1516
4397	36	669	334
144	0	32	2491
45	11	295	375
16	5	67	1211
9	5	210	1762
139	15	908	2435
639	1	188	606
445	17	23	2110
22	3	918	3177
11	4	0	2088
909	16	0	1689
18	7	97	2979
43	9	5	1139
219	6	486	1124
52	0	13	1244
3	1	0	2652
55	5	32	570
31	31	12	2491
25	10	105	1091
30	9	39	614
1119	1	27	2096
65	0	71	2957
124	22	912	818
118	4	11	108
18	0	1	1416
1713	4	9	253
24	7	60	738
4	22	33	2965
2	11	7	89
19	1	92	2524
761	0	1236	269
2374	7	514	921
5237	0	2919	1524
2	12	3	1585
1145	1	366	2649
39	22	35	590
7671	0	35	3030
19	10	67	2048
141	23	1	2082
908	35	1	3081
1	4	10	2699
33	110	4	2153
12	39	1591	603
259	0	0	1768
469	0	54	2466
4	11	21	1932
212	0	18	2108
284	0	6	2540
185	9	169	1523
4	21	154	1931
38	0	159	743
1759	19	663	2478
334	1	2	1499
1156	0	0	826
250	6	96	403
605	1	222	2802
45	2	71	1020
12	5	231	536
14	0	1	802
194	10	1485	1943
211	9	1	2476
62	25	46	2744
1	10	84	3119
27	8	62	281
83	0	6	380
9	5	249	1710
149	16	15	1286
15	26	179	1697
51	0	199	241
215	126	3	2605
1225	20	299	1648
16	0	9	414
0	25	2	683
164	95	691	1176
27	69	12	525
566	0	10	97
920	1	136	1736
68	16	6	1877
18	0	1	2115
1056	14	38	1610
289	2	2599	1522
221	2	42	790
326	11	0	772
